sep_text pages_names subcategory content
*** "*page_ David_Oliver_Relin" "*cat_ Suicides_by_train" "    According to his family ,  Relin had been diagnosed with depression .  "
*** "*page_ David_Oliver_Relin" "*cat_ Suicides_by_train" "    According to his family ,  Relin had been diagnosed with depression .  "
*** "*page_ Andreas_Baader" "*cat_ People_who_committed_suicide_in_prison_custody" "    According to official accounts of his death ,  Raspe learned of GSG 9's success on a smuggled transistor radio ,  and spent the next few hours talking to Baader ,  Ensslin ,  and Möller ,  who agreed to a suicide pact .  In the morning ,  Baader and Raspe were found dead in their cells ,  having died from gunshot wounds ,  while Ensslin was found hanging from a noose made from speaker wire .  RAF member Irmgard Möller was found with four stab wounds to her chest ,  but survived . All official inquiries on the matter concluded that Baader and his two accomplices committed collective suicide ,  and Baader-Meinhof biographer Stefan Aust argued in the original edition of his book ,  The Baader-Meinhof Group (1985) ,  that they did kill themselves . Aspects to the deaths have been debated :  Baader was supposed to have shot himself in the base of the neck so that the bullet exited through his forehead ;  repeated tests indicated that it was virtually impossible for a person to hold and fire a gun in such a way .  In addition ,  three bullet holes were found in his cell :  one lodged in the wall ,  one in the mattress ,  and the fatal bullet itself lodged in the floor ,  suggesting that Baader had fired twice before killing himself .  Finally ,  Baader had powder burns on his right hand ,  but he was left-handed .  Raspe showed no signs of powder burns . The theory itself that guns had been smuggled into Stammheim depended on the testimony of Hans Joachim Dellwo (brother of prisoner Karl-Heinz Dellwo) and Volker Speitel (husband of Angelika Speitel) .  Both had been arrested on 2 October 1977 ,  and charged with belonging to a criminal association ;  under pressure from the police they subsequently became crown witnesses and admitted to acting as couriers and testified that they were aware of lawyers smuggling items to the prisoners during the trial .  In consideration for this testimony ,  authorities reduced their sentences and provided them with new identities .  In 1979 ,  two defence attorneys were tried and convicted for smuggling weapons .  However ,  as noted above ,  the lawyers had been unable to meet with their clients after 6 September 1977 due to the Kontaktsperre order . In the revised version of his comprehensive book on the RAF ,  which was published in English in 2009 ,  Stefan Aust is categorical that the group members committed suicide . Following their apparent suicides ,  the German government had the brains of Baader ,  Meinhof ,  Ensslin and Raspe illegally removed for study at the Neurological Research Institute at the University of Tübingen .  The results of the study of the others' brains are not known . Aside from the removal of his brain ,  a death mask was made of Baader .  The brains of all but Meinhof have apparently been lost and cannot be accounted for by German authorities .  "
*** "*page_ Plamen_Goranov" "*cat_ Suicides_in_Bulgaria" "    According to the official report by the prosecution ,  but at that point Goranov had already endured burn injuries to 80 percent of his body . According to witnesses ,  while Goranov was on fire ,  he was saying """"Kiro ,  Kiro ,  today I was supposed to be in Antalya"""" (note Kiro being short for Kiril ,  reference to Kiril Yordanov ,  the then mayor of Varna Municipality) . At some point ,  an official from the municipality took away the poster brought by Goranov .  After testimonials of witnesses and the fact that the poster was missing becoming public ,  the official handed in the poster to the local police .  No charges were pressed against him . On the way to the hospital ,  Goranov said that he didn't want to kill himself . Goranov died on 3 March 2013 .  Two days later Varna Mayor Yordanov resigned .  "
*** "*page_ Plamen_Goranov" "*cat_ Suicides_in_Bulgaria" "    According to the official report by the prosecution ,  but at that point Goranov had already endured burn injuries to 80 percent of his body . According to witnesses ,  while Goranov was on fire ,  he was saying """"Kiro ,  Kiro ,  today I was supposed to be in Antalya"""" (note Kiro being short for Kiril ,  reference to Kiril Yordanov ,  the then mayor of Varna Municipality) . At some point ,  an official from the municipality took away the poster brought by Goranov .  After testimonials of witnesses and the fact that the poster was missing becoming public ,  the official handed in the poster to the local police .  No charges were pressed against him . On the way to the hospital ,  Goranov said that he didn't want to kill himself . Goranov died on 3 March 2013 .  Two days later Varna Mayor Yordanov resigned .  "
*** "*page_ Plamen_Goranov" "*cat_ Suicides_by_self-immolation" "    According to the official report by the prosecution ,  but at that point Goranov had already endured burn injuries to 80 percent of his body . According to witnesses ,  while Goranov was on fire ,  he was saying """"Kiro ,  Kiro ,  today I was supposed to be in Antalya"""" (note Kiro being short for Kiril ,  reference to Kiril Yordanov ,  the then mayor of Varna Municipality) . At some point ,  an official from the municipality took away the poster brought by Goranov .  After testimonials of witnesses and the fact that the poster was missing becoming public ,  the official handed in the poster to the local police .  No charges were pressed against him . On the way to the hospital ,  Goranov said that he didn't want to kill himself . Goranov died on 3 March 2013 .  Two days later Varna Mayor Yordanov resigned .  "
*** "*page_ Plamen_Goranov" "*cat_ Suicides_by_self-immolation" "    According to the official report by the prosecution ,  but at that point Goranov had already endured burn injuries to 80 percent of his body . According to witnesses ,  while Goranov was on fire ,  he was saying """"Kiro ,  Kiro ,  today I was supposed to be in Antalya"""" (note Kiro being short for Kiril ,  reference to Kiril Yordanov ,  the then mayor of Varna Municipality) . At some point ,  an official from the municipality took away the poster brought by Goranov .  After testimonials of witnesses and the fact that the poster was missing becoming public ,  the official handed in the poster to the local police .  No charges were pressed against him . On the way to the hospital ,  Goranov said that he didn't want to kill himself . Goranov died on 3 March 2013 .  Two days later Varna Mayor Yordanov resigned .  "
*** "*page_ Theo_Berger" "*cat_ People_who_committed_suicide_in_prison_custody" "    After 39 years in jail ,  Berger committed suicide by hanging himself in Straubing prison on 20 November 2003 .  The appropriateness of Berger's 36 years in jail was questioned in his obituary by the Sueddeutsche Zeitung ,  as he never killed anybody and even murderers in Germany tend to be released after much shorter sentences .  "
*** "*page_ Per-Axel_Arosenius" "*cat_ Suicides_in_Sweden" "    After a dispute with the Swedish taxation authorities ,  Arosenius protested by setting himself on fire outside their office in Nacka .  He died ,  age 60 ,  in the ambulance on the way to the hospital .  "
*** "*page_ Per-Axel_Arosenius" "*cat_ Suicides_in_Sweden" "    After a dispute with the Swedish taxation authorities ,  Arosenius protested by setting himself on fire outside their office in Nacka .  He died ,  age 60 ,  in the ambulance on the way to the hospital .  "
*** "*page_ Per-Axel_Arosenius" "*cat_ Suicides_by_self-immolation" "    After a dispute with the Swedish taxation authorities ,  Arosenius protested by setting himself on fire outside their office in Nacka .  He died ,  age 60 ,  in the ambulance on the way to the hospital .  "
*** "*page_ Per-Axel_Arosenius" "*cat_ Suicides_by_self-immolation" "    After a dispute with the Swedish taxation authorities ,  Arosenius protested by setting himself on fire outside their office in Nacka .  He died ,  age 60 ,  in the ambulance on the way to the hospital .  "
*** "*page_ Erika_Hill" "*cat_ Deaths_from_asphyxiation" "    After enduring a length of abuse and starvation ,  Erika died in February 2007 .  Taylin reportedly called her sister and daughter at their jobs to the home ,  where she showed them Erika's body in the bathroom . When others would inquire the whereabouts of Erika after she disappeared ,  Taylin reportedly claimed she had returned to her hometown of Joliet ,  Illinois ,  where she had previously been cared for by her great aunt ,  who died in 2001 .  "
*** "*page_ Murder_of_Erika_Hill" "*cat_ Deaths_from_asphyxiation" "    After enduring a length of abuse and starvation ,  Erika died in February 2007 .  Taylin reportedly called her sister and daughter at their jobs to the home ,  where she showed them Erika's body in the bathroom . When others would inquire the whereabouts of Erika after she disappeared ,  Taylin reportedly claimed she had returned to her hometown of Joliet ,  Illinois ,  where she had previously been cared for by her great aunt ,  who died in 2001 .  "
*** "*page_ Sue_Rodriguez" "*cat_ Assisted_suicide" "    After her ALS diagnosis ,  Rodriquez requested the help of a physician for medical aid in dying .  Rodriguez sought a legal exception in her home province ,  British Columbia ,  but was denied . The British Columbia Civil Liberties Association (BCCLA) filed a lawsuit ,  Rodriguez v British Columbia (AG) ,  that challenged section 241(b) as contrary to sections 7 ,  12 ,  and 15 of the Canadian Charter of Rights and Freedoms . On February 12 ,  1994 ,  with the assistance of an anonymous doctor ,  Sue Rodriguez ended her own life by ingesting a liquid mixture of morphine and secobarbital .  Robinson has vowed never to reveal the anonymous doctor's identity . Almost 23 years later ,  on June 7 ,  2016 ,  medical assistance in dying became legal in Canada as the result of a similar Supreme Court case ,  Carter v Canada (AG) .  The Court unanimously struck down parts of section 241(b) and section 14 of the Criminal Code which the justices ruled unjustifiably infringed on section 7 of the Charter of Rights and Freedoms .  "
*** "*page_ Roger_Williamson" "*cat_ Deaths_from_asphyxiation" "    After his Formula One debut at the 1973 British Grand Prix ,  Williamson's second Formula One appearance was at the 1973 Dutch Grand Prix at Zandvoort Circuit .  On his eighth lap ,  a suspected tyre failure caused his car to flip upside down and catch fire .  Williamson had not been seriously injured by the impact ,  but was trapped under the car which was swiftly engulfed in flame .  The track marshals were both poorly trained and badly equipped ,  and did not assist him .  Another driver ,  David Purley ,  upon witnessing the crash of his friend ,  abandoned his own race and pulled over in a desperate and valiant attempt to rescue Williamson .  He ran across the still active track to Williamson's car and tried to turn it upright ,  before grabbing a fire extinguisher from a marshal and returning to the engulfed car .  He emptied it on the car and signalled for others to help .  Purley's efforts to turn the car upright and extinguish the flames were in vain ,  and the marshals were unable to handle the vehicle without flame retardant overalls .  Purley later stated he could hear Williamson's screams from underneath the car ,  but by the time the first fire engine arrived and the fire was extinguished ,  Williamson had died of asphyxiation .  As most racers mistakenly identified Purley as the driver of the crashed car ,  and therefore thought the burning car to be empty ,  none of them stopped to help and the race continued ,  even as Purley stood on the circuit and gestured with his hands for them to stop .  Furthermore ,  the track marshals were wearing normal blazers and not the fire-resistant overalls which the drivers wore ,  and thus were not able to go near the large flames .  Purley was later awarded the George Medal for the bravery he displayed in attempting to rescue Williamson .  A series of photos of the incident ,  showing a clearly desperate and ultimately dejected Purley ,  won that year's World Press Photo award for Photo Sequences .  Williamson's body was later cremated with his ashes being taken to an undisclosed location .  In the years following the accident ,  fire-resistant clothing would become mandatory for all trackside marshals so that they would be able to assist in the event of a fire .  The next few years also saw a noticeable increase in drivers stopping at accident sites to assist in rescue efforts ,  notably at the 1976 German Grand Prix .  Williamson was 25 years old at the time of his death . In 2003 ,  on the thirtieth anniversary of his fatal crash ,  a bronze statue of Williamson was unveiled at the Donington Park circuit in his native Leicestershire .  Then-owner Tom Wheatcroft had provided financial backing to Williamson ,  and described the day Williamson died as """"the saddest day of my life"""" .  "
*** "*page_ Nabíl-i-Aʻzam" "*cat_ Suicides_by_drowning" "    After his return from Iran ,  he lived in ʻAkká until Baháʼu'lláh's death in 1892 .  Overwhelmed with Baháʼu'lláh's death ,  he drowned himself in the sea and his dead body was found washed ashore near the city of ʻAkká . Besides writing a lengthy history of the Baháʼí Faith ,  he wrote poetry about the historical events of the religion ,  which he would send to the Baháʼís of Iran .  His poetry ,  however ,  has not been published .  A tablet by Baháʼu'lláh addresses him by name ,  describing him as """"numbered with My favoured ones whose names the Finger of God hath inscribed . """" "
*** "*page_ Nabíl-i-Aʻzam" "*cat_ Suicides_by_drowning" "    After his return from Iran ,  he lived in ʻAkká until Baháʼu'lláh's death in 1892 .  Overwhelmed with Baháʼu'lláh's death ,  he drowned himself in the sea and his dead body was found washed ashore near the city of ʻAkká . Besides writing a lengthy history of the Baháʼí Faith ,  he wrote poetry about the historical events of the religion ,  which he would send to the Baháʼís of Iran .  His poetry ,  however ,  has not been published .  A tablet by Baháʼu'lláh addresses him by name ,  describing him as """"numbered with My favoured ones whose names the Finger of God hath inscribed . """" "
*** "*page_ King_Ling_of_Chu" "*cat_ Suicides_in_China" "    After installing King Zi'ao ,  the rebels informed the soldiers of King Ling ,  """"If you surrender to the new king ,  all your current posts and lands will remain ;  otherwise ,  you will face severe penalties . """" As soon as the message spread ,  most of the soldiers scattered ,  leaving only a few hundred still supporting King Ling .  King Ling was very sad about the death of his sons ,  but when a servant said that was because the king had murdered too many sons of others ,  King Ling stopped weeping . A loyal minister Zheng Dan tried to give some sound advice to King Ling ,  but King Ling knew that there was nothing he could do .  Finally Zheng Dan went to the rebels and told them that the king was depressed by what had happened . King Ling was eventually left virtually alone .  The rebels threatened the people and told them not to provide food or shelter to him ,  so the king became hungry .  Fortunately there was still someone willing to shelter him .  This man ,  Shen Hai ,  was the son of a late minister named Shen Wuyu .  Shen Wuyu had offended King Ling twice ,  but the violent King Ling never punished him ,  so Wuyu told his son to pay a debt of gratitude to the king .  Shen Hai led King Ling to his home ,  provided a meal for him and asked his two daughters to serve him .  But King Ling was too sad to make love with the young girls ,  instead ,  he kept crying all night .  At midnight ,  Shen Hai was told that the king had committed suicide .  Hai buried King Ling and killed his two daughters as sacrificial objects . However ,  the rebels were not informed of the death of the king .  Convinced by his advisors that the king was still alive ,  Qiji told the rebels that King Ling was leading his troops back .   In response ,  King Zi'ao and Heigong committed suicide .  Now ,  as all his elder brothers had died ,  Qiji became the new king as King Ping of Chu .  While unaware that King Ling was dead ,  King Ping found a corpse and claimed it the corpse of King Ling .  Later Shen Hai told him about the actual death and burial of King Ling .  King Ping reburied his elder brother according to the ritual expected of a king and styled him as King Ling .  "
*** "*page_ King_Ling_of_Chu" "*cat_ Suicides_in_China" "    After installing King Zi'ao ,  the rebels informed the soldiers of King Ling ,  """"If you surrender to the new king ,  all your current posts and lands will remain ;  otherwise ,  you will face severe penalties . """" As soon as the message spread ,  most of the soldiers scattered ,  leaving only a few hundred still supporting King Ling .  King Ling was very sad about the death of his sons ,  but when a servant said that was because the king had murdered too many sons of others ,  King Ling stopped weeping . A loyal minister Zheng Dan tried to give some sound advice to King Ling ,  but King Ling knew that there was nothing he could do .  Finally Zheng Dan went to the rebels and told them that the king was depressed by what had happened . King Ling was eventually left virtually alone .  The rebels threatened the people and told them not to provide food or shelter to him ,  so the king became hungry .  Fortunately there was still someone willing to shelter him .  This man ,  Shen Hai ,  was the son of a late minister named Shen Wuyu .  Shen Wuyu had offended King Ling twice ,  but the violent King Ling never punished him ,  so Wuyu told his son to pay a debt of gratitude to the king .  Shen Hai led King Ling to his home ,  provided a meal for him and asked his two daughters to serve him .  But King Ling was too sad to make love with the young girls ,  instead ,  he kept crying all night .  At midnight ,  Shen Hai was told that the king had committed suicide .  Hai buried King Ling and killed his two daughters as sacrificial objects . However ,  the rebels were not informed of the death of the king .  Convinced by his advisors that the king was still alive ,  Qiji told the rebels that King Ling was leading his troops back .   In response ,  King Zi'ao and Heigong committed suicide .  Now ,  as all his elder brothers had died ,  Qiji became the new king as King Ping of Chu .  While unaware that King Ling was dead ,  King Ping found a corpse and claimed it the corpse of King Ling .  Later Shen Hai told him about the actual death and burial of King Ling .  King Ping reburied his elder brother according to the ritual expected of a king and styled him as King Ling .  "
*** "*page_ King_Ling_of_Chu" "*cat_ Suicides_in_China" "    After installing King Zi'ao ,  the rebels informed the soldiers of King Ling ,  """"If you surrender to the new king ,  all your current posts and lands will remain ;  otherwise ,  you will face severe penalties . """" As soon as the message spread ,  most of the soldiers scattered ,  leaving only a few hundred still supporting King Ling .  King Ling was very sad about the death of his sons ,  but when a servant said that was because the king had murdered too many sons of others ,  King Ling stopped weeping . A loyal minister Zheng Dan tried to give some sound advice to King Ling ,  but King Ling knew that there was nothing he could do .  Finally Zheng Dan went to the rebels and told them that the king was depressed by what had happened . King Ling was eventually left virtually alone .  The rebels threatened the people and told them not to provide food or shelter to him ,  so the king became hungry .  Fortunately there was still someone willing to shelter him .  This man ,  Shen Hai ,  was the son of a late minister named Shen Wuyu .  Shen Wuyu had offended King Ling twice ,  but the violent King Ling never punished him ,  so Wuyu told his son to pay a debt of gratitude to the king .  Shen Hai led King Ling to his home ,  provided a meal for him and asked his two daughters to serve him .  But King Ling was too sad to make love with the young girls ,  instead ,  he kept crying all night .  At midnight ,  Shen Hai was told that the king had committed suicide .  Hai buried King Ling and killed his two daughters as sacrificial objects . However ,  the rebels were not informed of the death of the king .  Convinced by his advisors that the king was still alive ,  Qiji told the rebels that King Ling was leading his troops back .   In response ,  King Zi'ao and Heigong committed suicide .  Now ,  as all his elder brothers had died ,  Qiji became the new king as King Ping of Chu .  While unaware that King Ling was dead ,  King Ping found a corpse and claimed it the corpse of King Ling .  Later Shen Hai told him about the actual death and burial of King Ling .  King Ping reburied his elder brother according to the ritual expected of a king and styled him as King Ling .  "
*** "*page_ Kenelm_Lee_Guinness" "*cat_ Suicides_in_London" "    After the 1924 crash ,  Guinness suffered head and other injuries .  These other injuries may have been enough to end his racing career on their own ,  but the head injuries and the trauma of Barrett's death also changed his personality . In his final months towards 1937 ,  he was described as suffering delusions and was admitted to a nursing home .  On 10 April 1937 he was found dead in a bedroom at his home near the KLG factory ,  having apparently gassed himself . At the coroner's inquest ,  his brother Sir Algernon Guinness produced a letter that indicated the likelihood of suicide .  The coroner's verdict was ,  """"Suicide ,  while of unsound mind"""" . He was buried on 14 April at Putney Vale Cemetery ,  adjacent to the KLG factory .  "
*** "*page_ Kenelm_Lee_Guinness" "*cat_ Suicides_in_London" "    After the 1924 crash ,  Guinness suffered head and other injuries .  These other injuries may have been enough to end his racing career on their own ,  but the head injuries and the trauma of Barrett's death also changed his personality . In his final months towards 1937 ,  he was described as suffering delusions and was admitted to a nursing home .  On 10 April 1937 he was found dead in a bedroom at his home near the KLG factory ,  having apparently gassed himself . At the coroner's inquest ,  his brother Sir Algernon Guinness produced a letter that indicated the likelihood of suicide .  The coroner's verdict was ,  """"Suicide ,  while of unsound mind"""" . He was buried on 14 April at Putney Vale Cemetery ,  adjacent to the KLG factory .  "
*** "*page_ Kenelm_Lee_Guinness" "*cat_ Suicides_by_gas" "    After the 1924 crash ,  Guinness suffered head and other injuries .  These other injuries may have been enough to end his racing career on their own ,  but the head injuries and the trauma of Barrett's death also changed his personality . In his final months towards 1937 ,  he was described as suffering delusions and was admitted to a nursing home .  On 10 April 1937 he was found dead in a bedroom at his home near the KLG factory ,  having apparently gassed himself . At the coroner's inquest ,  his brother Sir Algernon Guinness produced a letter that indicated the likelihood of suicide .  The coroner's verdict was ,  """"Suicide ,  while of unsound mind"""" . He was buried on 14 April at Putney Vale Cemetery ,  adjacent to the KLG factory .  "
*** "*page_ Kenelm_Lee_Guinness" "*cat_ Suicides_by_gas" "    After the 1924 crash ,  Guinness suffered head and other injuries .  These other injuries may have been enough to end his racing career on their own ,  but the head injuries and the trauma of Barrett's death also changed his personality . In his final months towards 1937 ,  he was described as suffering delusions and was admitted to a nursing home .  On 10 April 1937 he was found dead in a bedroom at his home near the KLG factory ,  having apparently gassed himself . At the coroner's inquest ,  his brother Sir Algernon Guinness produced a letter that indicated the likelihood of suicide .  The coroner's verdict was ,  """"Suicide ,  while of unsound mind"""" . He was buried on 14 April at Putney Vale Cemetery ,  adjacent to the KLG factory .  "
*** "*page_ Win_Mercer" "*cat_ Suicides_by_gas" "    After the conclusion of the 1902 season ,  the Tigers appointed the 28-year-old Mercer to be their player-manager for 1903 .   However ,  on January 12 ,  1903 ,  after a barnstorming tour through the west ,  Mercer checked into the Occidental Hotel in San Francisco and killed himself by inhaling illuminating gas at age 28 .   Mercer's suicide won national attention ,  and there were conflicting reports about the reasons for the suicide .   The Sporting News reported that Mercer had been gambling and apparently saw no way to make the deficit good .   According to this version ,  his losses included not only his own money but the funds of other players ,  with estimates ranging from $3 , 000 to $8 , 000 . Mercer was laid to rest at Riverview Cemetery in East Liverpool ,  Ohio .  "
*** "*page_ Win_Mercer" "*cat_ Suicides_by_gas" "    After the conclusion of the 1902 season ,  the Tigers appointed the 28-year-old Mercer to be their player-manager for 1903 .   However ,  on January 12 ,  1903 ,  after a barnstorming tour through the west ,  Mercer checked into the Occidental Hotel in San Francisco and killed himself by inhaling illuminating gas at age 28 .   Mercer's suicide won national attention ,  and there were conflicting reports about the reasons for the suicide .   The Sporting News reported that Mercer had been gambling and apparently saw no way to make the deficit good .   According to this version ,  his losses included not only his own money but the funds of other players ,  with estimates ranging from $3 , 000 to $8 , 000 . Mercer was laid to rest at Riverview Cemetery in East Liverpool ,  Ohio .  "
*** "*page_ Zhu_Chenhao" "*cat_ Suicides_in_China" "    All allies of the Prince of Ning were captured ,  including the commander of the Imperial guard ,  Qian Ning and the Minister of War ,  Lu Wan .  Both were punished by death by slicing .  The Imperial status of Zhu Chenhao was removed in 1519 and he was allowed to take his own life on 12 January 1521 ,  after which his corpse was burned .  All of the prince's family members were also executed .  "
*** "*page_ Zhu_Chenhao" "*cat_ Suicides_in_China" "    All allies of the Prince of Ning were captured ,  including the commander of the Imperial guard ,  Qian Ning and the Minister of War ,  Lu Wan .  Both were punished by death by slicing .  The Imperial status of Zhu Chenhao was removed in 1519 and he was allowed to take his own life on 12 January 1521 ,  after which his corpse was burned .  All of the prince's family members were also executed .  "
*** "*page_ Zhu_Chenhao" "*cat_ Suicides_in_China" "    All allies of the Prince of Ning were captured ,  including the commander of the Imperial guard ,  Qian Ning and the Minister of War ,  Lu Wan .  Both were punished by death by slicing .  The Imperial status of Zhu Chenhao was removed in 1519 and he was allowed to take his own life on 12 January 1521 ,  after which his corpse was burned .  All of the prince's family members were also executed .  "
*** "*page_ Zhu_Chenhao" "*cat_ 16th-century_suicides" "    All allies of the Prince of Ning were captured ,  including the commander of the Imperial guard ,  Qian Ning and the Minister of War ,  Lu Wan .  Both were punished by death by slicing .  The Imperial status of Zhu Chenhao was removed in 1519 and he was allowed to take his own life on 12 January 1521 ,  after which his corpse was burned .  All of the prince's family members were also executed .  "
*** "*page_ Edward_Downes" "*cat_ Joint_suicides" "    Although not terminally ill ,  Downes had been coping with increasing deafness and near total blindness for many years .  He had become almost totally dependent on his wife after his health declined following a hip replacement .  Lady Downes was diagnosed with terminal pancreatic cancer that had metastasised to her liver ,  and given only weeks to live . Lady Downes wrote a letter to family explaining that she had decided against treatment and that : Sir Edward ,  aged 85 ,  and Lady Downes ,  aged 74 ,  ended their lives by assisted suicide at the Dignitas clinic in Zürich ,  Switzerland ,  on 10 July 2009 . In March 2010 ,  director of public prosecutions Keir Starmer stated that Caractacus Downes would not be prosecuted for his involvement with his parents' assisted suicide because it was not in the public interest .  "
